mturk_images/yg4934_e_182.png,Name of applicant Address
mturk_images/yg4934_e_183.png,Email Postal code Phone
mturk_images/yg4934_e_184.png,Yes Address No          Note: Applicant must be a Canadian citizen or a permanent resident of Canada and
mturk_images/yg4934_e_185.png,No          Note: Applicant must be a Canadian citizen or a permanent resident of Canada and Postal code
mturk_images/yg4934_e_186.png,Yukon resident have lived in Yukon for at least one continuous year to be a Yukon resident. Phone
mturk_images/yg4934_e_189.png,Previous film experience and training (attach resume) Description of educational program (Attach a copy of official course literature and certificate of acceptance)
mturk_images/yg4934_e_190.png,"Description of educational program (Attach a copy of official course literature and certificate of acceptance) Date of program (start/end) Educational institute (If a mentor, attach mentor’s resume)"
mturk_images/yg4934_e_191.png,Explain how this program will develop your skills and further your career
mturk_images/yg4934_e_194.png,"Access to Information and Protection of Privacy Act: This information is collected for the purpose of administering an economic development program pursuant to s. 8 and 9 of the Economic Development Act, as amended. Personal information on this form is collected under the authority of Section 29(c) of the Access to Information & Protection of Privacy (ATIPP) Act for the purpose of carrying out a program and/or providing financial assistance to the applicant. The collection, use, and disclosure of your personal information are managed in accordance with the ATIPP Act and all or part of this information may be made available to the public. For further information about the collection of this information, contact Manager, Yukon Media Development in writing at 303 Alexander Street, or by phone at 667-5400 or toll free at 1-800-661-0408 ext. 5400."
mturk_images/yg4934_e_197.png,"of the Economic Development Act, as amended. Personal information on this form is collected under the authority of Section 29(c) of the Access to Information & Protection of Privacy (ATIPP) Act for the purpose of carrying out a program and/or providing financial assistance to the applicant. The collection, use, and disclosure of your personal information are managed in accordance with the ATIPP Act and all or part of this information may be made available to the public. For further information about the collection of this information, contact Manager, Yukon Media Development in writing at 303 Alexander Street, or by phone at 667-5400 or toll free at 1-800-661-0408 ext. 5400."
mturk_images/yg3621_b_328.png,Municipality Municipalité
mturk_images/yg3621_b_329.png,Place Localité
mturk_images/yg3621_b_343.png,hours of at
mturk_images/yg3621_b_344.png,and • à à
mturk_images/yg3621_b_347.png,at
mturk_images/yg3621_b_348.png,and • à à
mturk_images/yg3621_b_342.png,Scrutin par anticipation Les bureaux de scrutin par anticipation seront ouverts de
mturk_images/yg3621_b_345.png,Advance poll The advance poll shall be open between the at à
mturk_images/yg3621_b_346.png,Day/month/year Jour/mois/année Les bureaux de scrutin général seront ouverts de
mturk_images/yg3621_b_349.png,Location Lieu hours of
mturk_images/yg3621_b_350.png,X Returning officer Directeur du scrutin
mturk_images/yg6668_e_551.png,"Supporting documentation checklist (More information is found on the application website.) Proof of a minimum of $1,000,000 of professional liability insurance."
mturk_images/yg6668_e_552.png,"Proof of a minimum of $1,000,000 of professional liability insurance."
mturk_images/yg6668_e_553.png,Certificate of standing. (Required if you are licensed in another jurisdiction. The document must be sent to PLRA directly from the jurisdiction.)
mturk_images/yg6668_e_554.png,Confirmation of registration for the clinical component of the physiotherapy competency exam (PCE). (Required if you are renewing an interim licence.)
mturk_images/yg6668_e_586.png,Interim licence Inactive licence
mturk_images/yg6668_e_587.png,Temporary full licence: Dates  to Inactive licence
